doc_id,query,hit,rouge_lead,rouge_source
3624,who owns openoffice org after oracle corporation acquisition,True,0.233,0.377
299,dialects of English grammar rules variation,True,0.289,0.452
52,Taliban destruction of Bamiyan Buddha statues,True,0.292,0.606
702,st lawrence river history aids to navigation,True,0.344,0.344
623,Plato philosophy on accessing timeless reality through the mind vs physical world,True,0.444,0.362
564,algebraic analysis time dependence constraints,True,0.246,0.551
361,Anglo Norman invasion of Ireland in 1169,True,0.302,0.231
276,treating non-financial forms of capital like money,True,0.352,0.481
3765,how to play badminton and score points,True,0.455,0.65
3325,what happens to substances under different temperature and pressure conditions,True,0.208,0.547
217,encyclopedia organization methods,True,0.269,0.441
3476,what is a subculture example,True,0.303,0.468
2871,bavarian administrative divisions vs german administrative divisions,True,0.288,0.579
63,acceleration examples in everyday life,True,0.266,0.497
57,archaeologist areas of specialization,True,0.255,0.392
234,rights of ethnic groups under international law,True,0.259,0.458
547,human interaction with natural environment,True,0.19,0.296
584,oxymoron examples with opposing words,True,0.516,0.516
3079,steve bruce manager tenure at sunderland,True,0.233,0.475
3506,What is the Schwarzschild radius in physics?,True,0.41,0.697
